125	7	13	5	2552	
126	0	15	4	1574	
127	1	10	4	1268	
128	15	1	7	1963	
129	13	1	7	3773	
130	5	1	8	1683	
131	5	13	8	1071	
132	10	7	7	2077	
133	4	13	5	1773	
134	2	0	5	1079	
135	2	8	7	2026	
136	4	15	7	1584	
137	6	0	8	2360	
138	12	6	8	1116	
139	14	13	3	2448	
140	15	0	6	2697	
141	9	15	9	2358	
142	2	6	8	2709	
143	2	15	3	2104	
144	7	12	1	3232	
145	0	7	4	2965	
146	9	11	4	1496	
147	12	2	7	1584	
148	9	2	5	1735	
149	11	14	7	1866	
150	9	5	3	1886	
151	4	8	8	3758	
152	9	14	6	2385	
153	7	9	8	1953	
154	1	2	8	2272	
155	8	15	4	1573	
156	11	12	7	2105	
157	4	3	5	2073	
158	9	8	5	1734	
159	3	9	8	1465	
160	10	6	7	1933	
161	3	11	8	2708	
162	8	14	9	1356	
163	11	15	9	1418	
164	10	0	9	1137	
165	9	13	9	1048	
166	6	4	9	1246	
167	4	12	8	1866	
168	5	9	8	1330	
169	8	10	9	1714	
170	2	1	3	2557	
171	11	13	7	2214	
172	2	14	8	2302	
173	8	5	7	1734	
174	3	9	1	2397	
175	1	14	1	2609	
176	6	7	4	1776	
177	12	13	3	1866	
178	9	2	2	2264	
179	7	3	7	3177	
180	10	6	3	3196	
181	0	12	7	2874	
182	9	4	3	3520	
183	9	14	3	2259	
184	12	9	4	2858	
185	6	13	1	1429	
186	13	1	8	2015	
187	1	3	8	1059	
188	11	10	5	1528	
189	12	8	9	1558	
190	6	1	5	1683	
191	11	9	9	1309	
192	2	0	9	1148	
193	0	8	9	2148	
194	11	10	3	1746	
195	4	10	3	1422	
196	3	2	2	3025	
197	5	3	8	1398	
198	7	1	9	955	
199	3	12	6	1304	
200	14	0	8	2046	
201	4	1	3	1964	
202	8	3	2	2120	
203	6	8	8	1679	
204	2	6	9	1672	
205	6	15	1	1616	
206	7	14	3	4725	
207	7	15	1	2479	
208	4	15	1	1543	
209	14	0	6	3482	
210	2	4	8	1839	
211	13	8	9	2614	
212	5	12	2	2510	
213	14	5	4	2884	
214	5	7	9	1735	
215	14	5	7	1495	
216	3	6	5	1591	
217	3	14	3	1799	
218	4	11	3	1449	
219	11	6	3	2042	
220	10	3	3	1641	
221	5	0	5	2396	
222	1	15	7	3695	
223	9	15	9	1766	
224	3	4	1	4274	
225	2	3	1	1994	
226	11	3	1	2240	
227	2	10	5	1860	
228	8	1	4	2681	
229	3	10	3	2153	
230	12	11	5	3471	
231	6	3	4	1298	
232	3	13	8	2271	
233	9	1	8	1705	
234	5	4	5	2551	
235	8	3	5	2806	
236	12	14	7	2827	
237	13	0	5	1932	
238	8	9	3	3489	
239	4	13	4	2888	
